"","sex","variable","n","mean","sd"
"1","f","0-10m",443,1.81112415349887,0.083061692325829
"2","f","10-30m",441,2.60746485260771,0.113173034304429
"3","f","0-30m",483,4.41854037267081,0.17347495522022
"4","f","30-60m",492,3.7549674796748,0.204963488277382
"5","f","0-60m",486,8.17827983539095,0.357710105349064
"6","f","FOST",511,11.5518786692759,1.33783582661531
"7","f","TH",462,8.27341991341991,0.998595756497812
"8","f","CMJ",463,40.6722462203024,4.96286387958569
"9","f","DJ",485,1.68536082474227,0.352966946031854
"10","f","12MR",382,2436.4554973822,236.800339741011
"11","f","FJT",473,14.6781416490486,1.25537198848362
"12","f","SUs",327,10.0336391437309,6.69873854286778
"13","f","SUb",187,8.07486631016043,6.37343776837958
"14","m","0-10m",209,1.69266507177033,0.0943782934989231
"15","m","10-30m",208,2.37373557692308,0.112680353699349
"16","m","0-30m",247,4.06872874493927,0.17678827107095
"17","m","30-60m",254,3.32102755905512,0.180340683383829
"18","m","0-60m",249,7.4019437751004,0.337831982557775
"19","m","FOST",258,13.997984496124,1.78442020135718
"20","m","TH",213,9.73197183098592,1.06681100302907
"21","m","CMJ",241,52.222531120332,6.86442913261808
"22","m","DJ",257,1.96739299610895,0.40586209031764
"23","m","12MR",186,2724.04301075269,263.703576992148
"24","m","FJT",221,17.0011764705882,1.58615500520433
"25","m","SUs",156,13.0833333333333,6.86266978362938
"26","m","SUb",118,12.1694915254237,7.65975729318664
