"","es","ci_low","ci_up","var","beta","beta_label"
"1",-0.0116671701519952,-0.0294368953563266,0.00605176487318117,"0-10m",0.0947084256017829,""
"2",-0.0172566526286835,-0.0338246754855302,-0.000597410801862001,"10-30m",0.133002678363324,"◊"
"3",-0.011283082426376,-0.0221209042499437,-0.000451626377504955,"0-30m",0.104898476072932,"◊"
"4",-0.0167167325170549,-0.0305316513389284,-0.00282996107000739,"30-60m",0.111689976756235,"◊"
"5",-0.0131781893647346,-0.0248006379283652,-0.00151968170291694,"0-60m",0.10780056164475,"◊"
"6",-0.0114590359614276,-0.0419853212677892,0.0192346724678934,"FOST",-0.0386129922807353,""
"7",-0.127933306241269,-0.168434936809224,-0.087150199238764,"TH",-0.388916083503564,"◊◊"
"8",-0.0251441082528827,-0.0640470730434833,0.0137553204340775,"CMJ",-0.0716431105981909,""
"9",-0.0576605659923985,-0.111867388479341,-0.00317811671565223,"DJ",-0.134957413932933,"◊"
"10",-0.0138825857222383,-0.0527720303172064,0.0245738236923271,"12MR",-0.0580868181822221,""
"11",-0.0548775511165076,-0.0874665979069628,-0.022337326755015,"FJT",-0.226270826180831,"◊"
"12",-0.0872482263831444,-0.442927205378767,0.267788404601587,"SUs",-0.0578879685561498,""
"13",-0.137222594879348,-0.415046998430065,0.139464589047494,"SUb",-0.0883451732469899,""
